harmful-breakable-walk,harmful-breakable-walkBig,harmful-breakable-fly,harmful-breakable-flyBig,harmful-breakable-shooter,harmful-breakable-shooterBig,harmful-breakable-shooterFly,harmful-breakable-shooterFlyBig,harmful-indestructible-fixed,harmful-indestructible-fixedBig,harmful-indestructible-walk,harmful-indestructible-walkBig,harmful-indestructible-fly,harmful-indestructible-flyBig,harmful-indestructible-shooter,harmful-indestructible-shooterBig,harmful-indestructible-shooterFly,harmful-indestructible-shooterFlyBig,friendly-powerUp,friendly-vehicle,friendly-help,friendly-jump,friendly-move,friendly-teleport,friendly-puzzle,friendly-coin
0,0,0,0,0,0,0,0,456,170,0,0,0,0,4,0,0,0,2,0,33,6,44,6,0,52
5,1,0,0,0,0,0,0,96,0,0,0,0,0,2,0,0,0,0,0,2,1,6,2,3,31
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,9,36,46,11,3,119
0,1,0,0,1,0,0,0,5,0,0,0,0,0,9,1,0,0,44,0,159,2,11,14,2,43
0,0,0,0,0,0,0,0,0,11,0,0,0,0,2,0,0,0,8,0,148,21,26,0,0,0
1,0,1,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,1,12,0,0,9,0,57
12,0,0,0,0,0,0,0,282,40,0,0,17,3,36,0,0,0,5,12,26,47,198,18,4,101
0,22,0,0,0,0,0,0,50,41,0,0,0,0,0,0,0,0,1,0,10,7,9,6,0,634
9,0,6,0,0,0,0,0,33,6,0,0,1,0,0,0,0,0,1,0,2,0,8,2,0,64
6,10,0,1,0,3,0,0,176,15,0,1,0,0,2,2,0,0,7,2,248,132,129,31,4,152
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,0
11,5,10,0,0,0,0,0,60,11,2,0,4,2,37,0,4,3,19,2,173,1,92,18,1,109
16,0,1,0,4,1,0,0,42,4,14,1,6,1,43,0,0,0,3,0,13,3,105,17,2,60
2,0,0,0,6,0,0,0,216,0,3,0,0,0,0,0,0,0,0,0,116,46,20,0,0,0
