ID,timeLimit,widthBlock,heightBlock,objectCount,record,harmful-breakable-walk,harmful-breakable-walkBig,harmful-breakable-fly,harmful-breakable-flyBig,harmful-breakable-shooter,harmful-breakable-shooterBig,harmful-breakable-shooterFly,harmful-breakable-shooterFlyBig,harmful-indestructible-fixed,harmful-indestructible-fixedBig,harmful-indestructible-walk,harmful-indestructible-walkBig,harmful-indestructible-fly,harmful-indestructible-flyBig,harmful-indestructible-shooter,harmful-indestructible-shooterBig,harmful-indestructible-shooterFly,harmful-indestructible-shooterFlyBig,friendly-powerUp,friendly-vehicle,friendly-help,friendly-jump,friendly-move,friendly-teleport,friendly-puzzle,friendly-coin
2E63-0000-0329-6445,30,63,27,640,25755,8,0,2,1,0,0,0,0,7,0,2,0,0,0,2,0,0,0,11,1,0,13,19,6,5,2
2C9A-0000-031C-E167,210,163,27,2722,27745,9,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,5,0,44,18,0,21
2E6E-0000-0324-15F7,500,240,27,1438,26200,0,0,0,0,0,0,0,0,190,12,0,0,0,0,0,0,0,0,0,0,4,0,0,2,36,943
3000-0000-0359-DCC0,100,120,27,2061,20519,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
2EFC-0000-0360-94AB,500,240,27,4387,330453,5,0,0,0,9,2,1,0,105,21,1,1,2,2,6,0,0,0,12,18,36,38,33,67,7,31
3018-0000-0323-490D,500,240,27,1414,34533,0,0,0,7,3,1,0,0,13,1,0,0,0,0,8,0,0,0,119,0,24,21,70,28,13,166
30E2-0000-0311-AE5B,80,240,27,1433,45757,7,0,0,0,1,0,0,0,199,2,16,0,0,0,5,0,0,0,20,4,43,137,10,23,7,362
3032-0000-035E-2163,500,84,27,3212,25688,0,1,0,0,0,0,0,0,5,2,5,0,0,0,6,0,0,0,21,0,0,10,22,17,3,3
30F2-0000-0332-9D85,500,240,27,3634,218459,12,0,0,0,15,0,0,0,140,14,0,0,11,0,5,1,0,0,6,1,43,0,12,38,0,308
317E-0000-0324-CF16,120,217,27,3952,48642,8,3,0,0,1,0,0,0,1,1,0,1,0,1,0,3,0,0,31,1,105,59,94,8,0,369
